created_at,date,time,username,name,place,tweet,language,mentions,urls,likes_count,retweet,hashtags,cashtags,retweets_count,link,thumbnail,near,retweet_id,reply_to,retweet_date,translate,retweet_date,translate
2020-01-27 00:59:55 Morocco Daylight Time,2020-01-27,00:59:55,careyseuthe,i hate it here,,I’m logging off from social media now. This is the final thing I’ll say.  https://t.co/58DjU3y8Te,en,[],[],1,False,[],[],0,https://twitter.com/careyseuthe/status/1221583577038516224,https://pbs.twimg.com/media/EPPvyVHUUAES1OE.jpg,,,[],,,,
2020-01-27 00:59:55 Morocco Daylight Time,2020-01-27,00:59:55,bigdickdps,Obelisk,,"@paintedroes If anyone asks who is I'll tell them I guess, you're not tho!",en,[],[],0,False,[],[],0,https://twitter.com/bigdickdps/status/1221583575990046723,,,,"[{'screen_name': 'paintedroes', 'name': '🏳️\u200d🌈 birthday bitch 🏳️\u200d🌈', 'id': '1152107098509103104'}]",,,,
2020-01-27 00:59:55 Morocco Daylight Time,2020-01-27,00:59:55,kcdubya23,KcDubya23,,"@nickstauder Because of my chiefs fan friends, I’m definitely not actively rooting against them. If they win, I’ll be happy for the fans, I’ll be happy for Mahomes, kelce, etc. But I will not root for Clark Hunt’s team. He wanted to poach fans and has gotten a lot. I won’t be one.",en,[],[],0,False,[],[],0,https://twitter.com/KcDubya23/status/1221583575591550977,,,,"[{'screen_name': 'nickstauder', 'name': 'Nick Stauder', 'id': '376594940'}]",,,,
2020-01-27 00:59:54 Morocco Daylight Time,2020-01-27,00:59:54,piapi__,pi(a) 🌱,,"@xleonidk First of all, get well soon!! I'm sure you can do it!! As longs as you give it your best it'll be fine~ I wish I was able to help your but there's a reason why I didn't choose biology class;;",en,[],[],1,False,[],[],0,https://twitter.com/piapi__/status/1221583574824038408,,,,"[{'screen_name': 'xleonidk', 'name': '♡leoni | EVERYDAY ZEE DAY!!', 'id': '3409059664'}]",,,,
2020-01-27 00:59:54 Morocco Daylight Time,2020-01-27,00:59:54,jumpyknight,Favvey,,@ImranSZN Idiot people. They'll log off their handle by force,en,[],[],0,False,[],[],0,https://twitter.com/jumpyknight/status/1221583574622769153,,,,"[{'screen_name': 'ImranSZN', 'name': 'Kabiyesi, The King', 'id': '1062734737834426368'}]",,,,
2020-01-27 00:59:54 Morocco Daylight Time,2020-01-27,00:59:54,doodlesfreetime,Doodles ☕,,@bagsbybecka @SagaSeas @MashedFries I'll try and catch it.,en,[],[],3,False,[],[],0,https://twitter.com/DoodlesFreetime/status/1221583573913829378,,,,"[{'screen_name': 'bagsbybecka', 'name': 'Bags by Becka', 'id': '1197681306286596097'}, {'screen_name': 'SagaSeas', 'name': 'Silver Seas Saga', 'id': '1212197159845548032'}, {'screen_name': 'MashedFries', 'name': 'Kaly Dang', 'id': '2428214018'}]",,,,
2020-01-27 00:59:54 Morocco Daylight Time,2020-01-27,00:59:54,disneyplushelp,Disney+ Help,,"@LordLesG We don't have info to share at this time, but we'll be sure to express your interest! For now, we'd love to hear from you — let us know anything you'd like to see added in the future here:  https://t.co/Lg7hfi84VG.",en,[],['https://displ.us/Feedback'],0,False,[],[],0,https://twitter.com/DisneyPlusHelp/status/1221583572424908803,,,,"[{'screen_name': 'LordLesG', 'name': 'Lesley', 'id': '36456684'}]",,,,
2020-01-27 00:59:54 Morocco Daylight Time,2020-01-27,00:59:54,oliviarosexxx,Goddess Olivia Rose Onlyfans🧚🏻‍♀️,,"I’m finally back home! Taking the rest of today to unwind and maybe get used to the time difference. I’ll be back to editing, calls, etc tomorrow hopefully.",en,[],[],4,False,[],[],0,https://twitter.com/OliviaRoseXXX/status/1221583571623784451,,,,[],,,,
2020-01-27 00:59:53 Morocco Daylight Time,2020-01-27,00:59:53,itsjazmarie,Jaz,,@swaayrah I CAAAAAANT STAND YOU (also running music industry.. don’t play with me. I’ll be touring EXEC in 5 years..),en,[],[],4,False,[],[],0,https://twitter.com/itsjazmarie/status/1221583570860421122,,,,"[{'screen_name': 'swaayrah', 'name': 's', 'id': '1051540806'}]",,,,
2020-01-27 00:59:53 Morocco Daylight Time,2020-01-27,00:59:53,reddevil1989,Tracy S,,"@Northern_Bobby You'll smash it Sir. Best of luck 😊 (not that you need it but still, nice to be nice)  Will there be a Twitter name change? Perhaps InspectorNorthern / NorthernInspector or NorthernInsp if there's not enough characters for the others.",en,[],[],1,False,[],[],0,https://twitter.com/reddevil1989/status/1221583570654965761,,,,"[{'screen_name': 'Northern_Bobby', 'name': 'Northern Bobby', 'id': '3335443582'}]",,,,
